SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,LISTING_SOURCE
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,INE949L01017,540611,AUBANK,AU Small Finance Bank Ltd,Active,B ,10.0,INE949L01017,Banks,Equity,BOTH
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10,INE132H01018,532668,AURIONPRO,AURIONPRO SOLUTIONS LTD.,Active,B ,10.0,INE132H01018,IT Software Products,Equity,BOTH
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,INE406A01037,524804,AUROPHARMA,AUROBINDO PHARMA LTD.,Active,A ,1.0,INE406A01037,Pharmaceuticals,Equity,BOTH
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5,INE898S01029,539289,MJCO,Majesco Ltd,Active,B ,5.0,INE898S01029,IT Consulting &amp; Software,Equity,BOTH
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10,INE218C01016,509009,AUSOMENT,AuSom Enterprise Limited,Active,B ,10.0,INE218C01016,Comm.Trading  &amp; Distribution,Equity,BOTH
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10,INE449A01011,505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.,Active,B ,10.0,INE449A01011,Auto Parts &amp; Equipment,Equity,BOTH
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10,INE718H01014,532797,AUTOIND,AUTOLINE INDUSTRIES LTD.,Active,T ,10.0,INE718H01014,Auto Parts &amp; Equipment,Equity,BOTH
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10,INE349W01017,540649,AVADHSUGAR,Avadh Sugar &amp; Energy Ltd,Active,B ,10.0,INE349W01017,Sugar,Equity,BOTH
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1,INE488D01021,519105,AVTNPL,AVT NATURAL PRODUCTS LTD.,Active,B ,1.0,INE488D01021,Other Agricultural Products,Equity,BOTH
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,INE238A01034,532215,AXISBANK,AXIS BANK LTD.,Active,A ,2.0,INE238A01034,Banks,Equity,BOTH
AXISCADES,AXISCADES Technologies Limited,BE,21-DEC-2000,5,1,INE555B01013,5,INE555B01013,532395,AXISCADES,AXISCADES Engineering Technologies Ltd,Active,B ,5.0,INE555B01013,BPO/KPO,Equity,BOTH
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10,INE193B01039,508933,AYMSYNTEX,AYM Syntex Ltd,Active,B ,10.0,INE193B01039,Textiles,Equity,BOTH
